JID;journal;Available;source;
1;american journal of science;;;
2;biogeochemistry;;Springer;
3;biogeosciences;;EGU;
4;climate of the past;;EGU;
5;deep sea research;;Elsevier;
6;deep sea research part ii topical studies in oceanography;;Elsevier;
7;earth and planetary science letters;;Elsevier;
8;earth science reviews;;Elsevier;
9;earth system science data;;Earth System Science Data;
10;frontiers in marine science;;frontiers;
11;geochemistry geophysics geosystems;;AGU;
12;geochemistry international;;Springer;
13;geochemical journal;;Geochemical Journal;
14;geochimica et cosmochimica acta;;Elsevier;
15;geologische rundschau;;Springer;
16;geological society of america bulletin;;GSA Bulletin;
17;geology;;geoscience world;
18;geo marine letters;;Springer;
19;geophysical journal international;;oxford;
20;geophysical research letters;;AGU;
21;geophysical journal of the royal astronomical society;;oxford;
22;geotimes;;geotimes;
23;global biogeochemical cycles;;AGU;
24;global and planetary change;;Elsevier;
25;holocene;;SAGE;
26;marine geology;;Elsevier;
27;marine and petroleum geology;;Elsevier;
28;marine environmental research;;Elsevier;
29;nature;;NATURE;
30;nature communications;;NATURE;
31;nature geoscience;;NATURE;
32;netherlands journal of sea research;;Elsevier;
33;ocean coastal management;;Elsevier;
34;paleoceanography;;AGU;
35;paleoceanography and paleoclimatology;;AGU;
36;quaternary science reviews;;Elsevier;
37;quaternary international;;Elsevier;
38;quaternary research;;cambridge;
39;sedimentary geology;;Elsevier;
40;sedimentology;;Elsevier;
41;science;;science.org;
42;science of the total environment;;sciencedirect;
43;scientific reports;;NATURE;
44;science advances;;science.org;
45;marine chemistry;;sciencedirect;
46;journal of environmental radioactivity;;sciencedirect;
47;journal of coastal reseach;;coastal research;
48;continental shelf research;;sciencedirect;
49;boreal enviornmental research;;Boreal research;
50;acta oceanol;;Springer;
51;PNAS;;PNAS.org;
52;American society of limnology and Oceanography;;ASLO.org;